barano d ischia,Barano d'Ischia
capaccio,Calascio
contursi,Cursi
montoro inferiore,Nocera Inferiore
ospedaletto d alpinolo,Ospedaletto d'Alpinolo
san cipriano d aversa,San Cipriano d'Aversa
sant agata de  goti,Sant'Agata de' Goti
sant agnello,Sant'Agnello
sant anastasia,Sant'Anastasia
sant andrea di conza,Sant'Andrea di Conza
sant angelo a cupolo,Sant'Angelo a Cupolo
sant angelo a scala,Sant'Angelo a Scala
sant angelo all esca,Sant'Angelo all'Esca
sant angelo dei lombardi,Sant'Angelo dei Lombardi
sant antimo,Sant'Antimo
sant antonio abate,Sant'Antonio Abate
sant arpino,Sant'Arpino
sant egidio del monte albino,Sant'Egidio del Monte Albino
santa maria la carita,Santa Maria la Carità
telese,Telve
tortoli,Tortolì
trentola-ducenta,Trentola Ducenta
venaria,Venasca
